Local time,Open,High,Low,Close,Volume
01.08.2024 00:31:57.000 GMT+0100,1.28548,1.28548,1.28547,1.28547,1.8
01.08.2024 00:32:09.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,1.8
01.08.2024 00:32:26.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,0.9
01.08.2024 00:32:47.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,0.9
01.08.2024 00:32:51.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,1.8
01.08.2024 00:32:57.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:32:58.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,1.8
01.08.2024 00:33:24.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:33:53.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:34:09.000 GMT+0100,1.28550,1.28551,1.28550,1.28551,2.7000000000000006
01.08.2024 00:34:37.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:35:00.000 GMT+0100,1.28546,1.28547,1.28546,1.28547,1.8
01.08.2024 00:35:13.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:35:20.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:35:49.000 GMT+0100,1.28549,1.28549,1.28548,1.28548,1.8
01.08.2024 00:36:00.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:36:15.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,0.9
01.08.2024 00:37:10.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:38:10.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:38:41.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:38:42.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:38:47.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:38:50.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:39:00.000 GMT+0100,1.28549,1.28549,1.28549,1.28549,0.9
01.08.2024 00:40:07.000 GMT+0100,1.28550,1.28550,1.28550,1.28550,1.8
01.08.2024 00:40:13.000 GMT+0100,1.28546,1.28549,1.28546,1.28548,4.5
01.08.2024 00:40:41.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,2.25
01.08.2024 00:40:48.000 GMT+0100,1.28549,1.28551,1.28549,1.28551,5.400000000000001
01.08.2024 00:40:49.000 GMT+0100,1.28552,1.28554,1.28552,1.28554,1.8
01.08.2024 00:40:50.000 GMT+0100,1.28553,1.28553,1.28553,1.28553,1.8
01.08.2024 00:40:56.000 GMT+0100,1.28552,1.28552,1.28547,1.28547,4.05
01.08.2024 00:41:00.000 GMT+0100,1.28547,1.28548,1.28546,1.28546,3.6
01.08.2024 00:41:07.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:41:22.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
