20240820 050000;1.107960;1.108180;1.107850;1.108120;0
20240820 050100;1.108130;1.108130;1.107870;1.107870;0
20240820 050200;1.107860;1.108020;1.107860;1.108020;0
20240820 050300;1.108040;1.108170;1.108040;1.108070;0
20240820 050400;1.108070;1.108160;1.108070;1.108100;0
20240820 050500;1.108090;1.108090;1.107890;1.107960;0
20240820 050600;1.107940;1.107960;1.107890;1.107900;0
20240820 050700;1.107890;1.108070;1.107890;1.108050;0
20240820 050800;1.108060;1.108120;1.107990;1.108110;0
20240820 050900;1.108100;1.108150;1.108060;1.108060;0
20240820 051000;1.108060;1.108070;1.107950;1.107950;0
20240820 051100;1.107950;1.107950;1.107820;1.107860;0
20240820 051200;1.107850;1.107930;1.107770;1.107880;0
20240820 051300;1.107860;1.107970;1.107850;1.107960;0
20240820 051400;1.107970;1.108070;1.107970;1.108010;0
20240820 051500;1.108010;1.108070;1.108010;1.108070;0
20240820 051600;1.108070;1.108070;1.107980;1.108070;0
20240820 051700;1.108060;1.108080;1.107990;1.108070;0
20240820 051800;1.108060;1.108070;1.107930;1.107970;0
20240820 051900;1.107950;1.107970;1.107920;1.107920;0
20240820 052000;1.107910;1.107970;1.107900;1.107950;0
20240820 052100;1.107950;1.107950;1.107850;1.107850;0
20240820 052200;1.107860;1.107860;1.107650;1.107710;0
20240820 052300;1.107700;1.107720;1.107620;1.107650;0
20240820 052400;1.107650;1.107660;1.107600;1.107600;0
20240820 052500;1.107590;1.107670;1.107540;1.107660;0
20240820 052600;1.107650;1.107740;1.107650;1.107730;0
20240820 052700;1.107740;1.107820;1.107740;1.107810;0
20240820 052800;1.107800;1.107800;1.107700;1.107700;0
20240820 052900;1.107690;1.107700;1.107640;1.107640;0
20240820 053000;1.107640;1.107690;1.107600;1.107660;0
20240820 053100;1.107670;1.107760;1.107590;1.107600;0
20240820 053200;1.107610;1.107800;1.107610;1.107700;0
20240820 053300;1.107710;1.107780;1.107670;1.107720;0
20240820 053400;1.107700;1.107810;1.107700;1.107810;0
20240820 053500;1.107840;1.107910;1.107840;1.107900;0
20240820 053600;1.107890;1.107900;1.107840;1.107870;0
20240820 053700;1.107870;1.107870;1.107740;1.107770;0
20240820 053800;1.107770;1.107800;1.107720;1.107770;0
20240820 053900;1.107770;1.107810;1.107750;1.107760;0
20240820 054000;1.107750;1.107950;1.107740;1.107950;0
20240820 054100;1.107940;1.108060;1.107940;1.108060;0
20240820 054200;1.108050;1.108110;1.107970;1.107970;0
20240820 054300;1.107960;1.107960;1.107890;1.107900;0
20240820 054400;1.107900;1.108020;1.107890;1.107960;0
20240820 054500;1.107950;1.107960;1.107850;1.107960;0
20240820 054600;1.107960;1.107960;1.107870;1.107960;0
20240820 054700;1.107980;1.108060;1.107960;1.108030;0
20240820 054800;1.108030;1.108030;1.107960;1.107980;0
20240820 054900;1.107980;1.108130;1.107950;1.108130;0
20240820 055000;1.108140;1.108160;1.108040;1.108060;0
20240820 055100;1.108020;1.108020;1.107840;1.107860;0
20240820 055200;1.107870;1.107920;1.107860;1.107920;0
20240820 055300;1.107910;1.107920;1.107710;1.107710;0
20240820 055400;1.107700;1.107750;1.107650;1.107650;0
20240820 055500;1.107650;1.107650;1.107540;1.107630;0
20240820 055600;1.107630;1.107750;1.107630;1.107750;0
20240820 055700;1.107750;1.107750;1.107600;1.107610;0
20240820 055800;1.107610;1.107610;1.107490;1.107510;0
20240820 055900;1.107500;1.107560;1.107490;1.107550;0
20240820 060000;1.107560;1.107630;1.107540;1.107580;0
20240820 060100;1.107590;1.107620;1.107530;1.107560;0
20240820 060200;1.107560;1.107590;1.107550;1.107570;0
20240820 060300;1.107560;1.107600;1.107510;1.107600;0
20240820 060400;1.107600;1.107670;1.107600;1.107620;0
20240820 060500;1.107640;1.107660;1.107510;1.107510;0
20240820 060600;1.107520;1.107640;1.107500;1.107610;0
20240820 060700;1.107620;1.107620;1.107570;1.107600;0
20240820 060800;1.107610;1.107620;1.107570;1.107600;0
20240820 060900;1.107600;1.107600;1.107520;1.107590;0
20240820 061000;1.107600;1.107680;1.107590;1.107680;0
20240820 061100;1.107680;1.107750;1.107620;1.107750;0
20240820 061200;1.107750;1.107750;1.107660;1.107670;0
20240820 061300;1.107680;1.107770;1.107680;1.107710;0
20240820 061400;1.107720;1.107750;1.107700;1.107700;0
20240820 061500;1.107700;1.107720;1.107620;1.107650;0
20240820 061600;1.107650;1.107650;1.107570;1.107620;0
20240820 061700;1.107610;1.107680;1.107610;1.107650;0
20240820 061800;1.107660;1.107700;1.107650;1.107670;0
20240820 061900;1.107680;1.107700;1.107650;1.107650;0
20240820 062000;1.107670;1.107700;1.107660;1.107700;0
